Country,Year,Continent,Index Name,Rate
Puerto Rico,2021,Americas,Purchasing Power Index,69.22
South Korea,2021,Asia,Purchasing Power Index,76.6
Greece,2021,Europe,Purchasing Power Index,38.95
Bulgaria,2021,Europe,Purchasing Power Index,40.26
Turkey,2021,Asia,Purchasing Power Index,35.35
Bosnia And Herzegovina,2021,Europe,Purchasing Power Index,42.56
Uruguay,2021,Americas,Purchasing Power Index,30.62
Costa Rica,2021,Americas,Purchasing Power Index,39.01
Mexico,2021,Americas,Purchasing Power Index,35.54
Georgia,2021,Asia,Purchasing Power Index,25.67
Ecuador,2021,Americas,Purchasing Power Index,30.54
Malaysia,2021,Asia,Purchasing Power Index,56.1
Serbia,2021,Europe,Purchasing Power Index,35.83
Jordan,2021,Asia,Purchasing Power Index,33.13
Kuwait,2021,Asia,Purchasing Power Index,75.32
Argentina,2021,Americas,Purchasing Power Index,34.56
Panama,2021,Americas,Purchasing Power Index,32.05
North Macedonia,2021,Europe,Purchasing Power Index,31.97
Ukraine,2021,Europe,Purchasing Power Index,30.1
Belarus,2021,Europe,Purchasing Power Index,31.96
Pakistan,2021,Asia,Purchasing Power Index,27.28
Brazil,2021,Americas,Purchasing Power Index,28.66
India,2021,Asia,Purchasing Power Index,47.13
Morocco,2021,Africa,Purchasing Power Index,32.17
China,2021,Asia,Purchasing Power Index,57.47
Azerbaijan,2021,Asia,Purchasing Power Index,25.77
Russian Federation,2021,Europe,Purchasing Power Index,34.61
Colombia,2021,Americas,Purchasing Power Index,26.13
Thailand,2021,Asia,Purchasing Power Index,31.36
Chile,2021,Americas,Purchasing Power Index,33.33
Hong Kong,2021,Asia,Purchasing Power Index,62.45
Kazakhstan,2021,Asia,Purchasing Power Index,34.92
Lebanon,2021,Asia,Purchasing Power Index,29.49
Indonesia,2021,Asia,Purchasing Power Index,20.89
Vietnam,2021,Asia,Purchasing Power Index,27.26
Egypt,2021,Africa,Purchasing Power Index,19.99
Peru,2021,Americas,Purchasing Power Index,28.81
Sri Lanka,2021,Asia,Purchasing Power Index,20.77
Philippines,2021,Asia,Purchasing Power Index,19.71
Kenya,2021,Africa,Purchasing Power Index,27.67
Bangladesh,2021,Asia,Purchasing Power Index,24.07
Iran,2021,Asia,Purchasing Power Index,19
Nigeria,2021,Africa,Purchasing Power Index,9.78
Denmark,2020,Europe,Purchasing Power Index,100.88
Switzerland,2020,Europe,Purchasing Power Index,119.53
Finland,2020,Europe,Purchasing Power Index,99.93
Australia,2020,Oceania,Purchasing Power Index,107.31
Netherlands,2020,Europe,Purchasing Power Index,90.73
Austria,2020,Europe,Purchasing Power Index,82.38
Iceland,2020,Europe,Purchasing Power Index,79.44
New Zealand,2020,Oceania,Purchasing Power Index,92.66
Germany,2020,Europe,Purchasing Power Index,102.36
Estonia,2020,Europe,Purchasing Power Index,71.3
Sweden,2020,Europe,Purchasing Power Index,101.73
Norway,2020,Europe,Purchasing Power Index,88.38
Slovenia,2020,Europe,Purchasing Power Index,66.31
United States of America,2020,Americas,Purchasing Power Index,109.52
Spain,2020,Europe,Purchasing Power Index,72.03
Japan,2020,Asia,Purchasing Power Index,87.28
Oman,2020,Asia,Purchasing Power Index,80.97
Canada,2020,Americas,Purchasing Power Index,95.09
Portugal,2020,Europe,Purchasing Power Index,49.43
United Kingdom,2020,Europe,Purchasing Power Index,91.73
Qatar,2020,Asia,Purchasing Power Index,111.69
Lithuania,2020,Europe,Purchasing Power Index,57.85
Croatia,2020,Europe,Purchasing Power Index,50.42
United Arab Emirates,2020,Asia,Purchasing Power Index,91.58
Czech Republic,2020,Europe,Purchasing Power Index,62.82
France,2020,Europe,Purchasing Power Index,80.36
Ireland,2020,Europe,Purchasing Power Index,80.88
Belgium,2020,Europe,Purchasing Power Index,86.28
Slovakia,2020,Europe,Purchasing Power Index,56.94
Saudi Arabia,2020,Asia,Purchasing Power Index,100
Latvia,2020,Europe,Purchasing Power Index,52.48
Israel,2020,Asia,Purchasing Power Index,78.09
Cyprus,2020,Asia,Purchasing Power Index,57.41
Singapore,2020,Asia,Purchasing Power Index,88.96
Taiwan,2020,Asia,Purchasing Power Index,65.67
Poland,2020,Europe,Purchasing Power Index,59.61
Italy,2020,Europe,Purchasing Power Index,65.59
South Korea,2020,Asia,Purchasing Power Index,85.21
Belarus,2020,Europe,Purchasing Power Index,37
Greece,2020,Europe,Purchasing Power Index,43.68
Romania,2020,Europe,Purchasing Power Index,48.86
South Africa,2020,Africa,Purchasing Power Index,73.61
Bulgaria,2020,Europe,Purchasing Power Index,49.37
Hungary,2020,Europe,Purchasing Power Index,47.55
Turkey,2020,Asia,Purchasing Power Index,40.85
Uruguay,2020,Americas,Purchasing Power Index,37.46
Ecuador,2020,Americas,Purchasing Power Index,36.08
Bosnia And Herzegovina,2020,Europe,Purchasing Power Index,41.83
Chile,2020,Americas,Purchasing Power Index,42.5
Mexico,2020,Americas,Purchasing Power Index,41.81
Malaysia,2020,Asia,Purchasing Power Index,64.49
Serbia,2020,Europe,Purchasing Power Index,36.72
Georgia,2020,Asia,Purchasing Power Index,24.88
Kuwait,2020,Asia,Purchasing Power Index,85.59
Argentina,2020,Americas,Purchasing Power Index,47.22
Jordan,2020,Asia,Purchasing Power Index,34.88
North Macedonia,2020,Europe,Purchasing Power Index,37.15
India,2020,Asia,Purchasing Power Index,54.3
Panama,2020,Americas,Purchasing Power Index,34.23
Lebanon,2020,Asia,Purchasing Power Index,44.47
Colombia,2020,Americas,Purchasing Power Index,31.12
Brazil,2020,Americas,Purchasing Power Index,32.81
Morocco,2020,Africa,Purchasing Power Index,35.25
Pakistan,2020,Asia,Purchasing Power Index,30.57
Ukraine,2020,Europe,Purchasing Power Index,31.8
China,2020,Asia,Purchasing Power Index,60.88
Russian Federation,2020,Europe,Purchasing Power Index,38.94
Thailand,2020,Asia,Purchasing Power Index,35.45
Hong Kong,2020,Asia,Purchasing Power Index,65.32
Indonesia,2020,Asia,Purchasing Power Index,25.05
Kazakhstan,2020,Asia,Purchasing Power Index,38.36
Vietnam,2020,Asia,Purchasing Power Index,28.14
Egypt,2020,Africa,Purchasing Power Index,22.41
Peru,2020,Americas,Purchasing Power Index,33.95
Philippines,2020,Asia,Purchasing Power Index,23.48
Sri Lanka,2020,Asia,Purchasing Power Index,24.45
Iran,2020,Asia,Purchasing Power Index,22.69
Kenya,2020,Africa,Purchasing Power Index,27.32
Bangladesh,2020,Asia,Purchasing Power Index,33.21
Nigeria,2020,Africa,Purchasing Power Index,13.52
Denmark,2019,Europe,Purchasing Power Index,114.39
Switzerland,2019,Europe,Purchasing Power Index,129.7
Finland,2019,Europe,Purchasing Power Index,112.3
Australia,2019,Oceania,Purchasing Power Index,122.85
Austria,2019,Europe,Purchasing Power Index,96.7
Netherlands,2019,Europe,Purchasing Power Index,102.54
Iceland,2019,Europe,Purchasing Power Index,91.8
Germany,2019,Europe,Purchasing Power Index,116.2
New Zealand,2019,Oceania,Purchasing Power Index,101.09
Norway,2019,Europe,Purchasing Power Index,103.61
Estonia,2019,Europe,Purchasing Power Index,75.97
Japan,2019,Asia,Purchasing Power Index,103.12
United States of America,2019,Americas,Purchasing Power Index,122.03
Sweden,2019,Europe,Purchasing Power Index,111.38
Slovenia,2019,Europe,Purchasing Power Index,75.38
Spain,2019,Europe,Purchasing Power Index,83.8
United Kingdom,2019,Europe,Purchasing Power Index,105.73
Canada,2019,Americas,Purchasing Power Index,109.44
Qatar,2019,Asia,Purchasing Power Index,138.29
United Arab Emirates,2019,Asia,Purchasing Power Index,119.6
Croatia,2019,Europe,Purchasing Power Index,60.33
Portugal,2019,Europe,Purchasing Power Index,55.19
Belgium,2019,Europe,Purchasing Power Index,95.09
Ireland,2019,Europe,Purchasing Power Index,95.09
Czech Republic,2019,Europe,Purchasing Power Index,71.32
France,2019,Europe,Purchasing Power Index,91.55
Cyprus,2019,Asia,Purchasing Power Index,75.29
Singapore,2019,Asia,Purchasing Power Index,103.77
Lithuania,2019,Europe,Purchasing Power Index,60.34
Israel,2019,Asia,Purchasing Power Index,92.48
Slovakia,2019,Europe,Purchasing Power Index,63.24
Saudi Arabia,2019,Asia,Purchasing Power Index,118.59
South Korea,2019,Asia,Purchasing Power Index,103.4
Latvia,2019,Europe,Purchasing Power Index,55.16
Poland,2019,Europe,Purchasing Power Index,70
Italy,2019,Europe,Purchasing Power Index,77.49
Belarus,2019,Europe,Purchasing Power Index,44.64
Romania,2019,Europe,Purchasing Power Index,61.16
Greece,2019,Europe,Purchasing Power Index,49.57
South Africa,2019,Africa,Purchasing Power Index,82.97
Hungary,2019,Europe,Purchasing Power Index,54.66
Taiwan,2019,Asia,Purchasing Power Index,56.36
Bulgaria,2019,Europe,Purchasing Power Index,52.18
Turkey,2019,Asia,Purchasing Power Index,45.33
Bosnia And Herzegovina,2019,Europe,Purchasing Power Index,49.18
Chile,2019,Americas,Purchasing Power Index,54.13
Mexico,2019,Americas,Purchasing Power Index,49.98
Argentina,2019,Americas,Purchasing Power Index,55
Malaysia,2019,Asia,Purchasing Power Index,73.14
Georgia,2019,Asia,Purchasing Power Index,33.19
Serbia,2019,Europe,Purchasing Power Index,39.9
India,2019,Asia,Purchasing Power Index,66.91
Panama,2019,Americas,Purchasing Power Index,41.34
Jordan,2019,Asia,Purchasing Power Index,41.73
Lebanon,2019,Asia,Purchasing Power Index,53.97
North Macedonia,2019,Europe,Purchasing Power Index,39.83
Colombia,2019,Americas,Purchasing Power Index,34.66
Indonesia,2019,Asia,Purchasing Power Index,32.95
Russian Federation,2019,Europe,Purchasing Power Index,45.38
Pakistan,2019,Asia,Purchasing Power Index,38.61
Thailand,2019,Asia,Purchasing Power Index,40.86
Ukraine,2019,Europe,Purchasing Power Index,32.72
Hong Kong,2019,Asia,Purchasing Power Index,69.34
Brazil,2019,Americas,Purchasing Power Index,37.43
China,2019,Asia,Purchasing Power Index,68.95
Sri Lanka,2019,Asia,Purchasing Power Index,27.34
Philippines,2019,Asia,Purchasing Power Index,29.46
Vietnam,2019,Asia,Purchasing Power Index,33.33
Kazakhstan,2019,Asia,Purchasing Power Index,38.83
Iran,2019,Asia,Purchasing Power Index,37.74
Egypt,2019,Africa,Purchasing Power Index,23.67
Denmark,2018,Europe,Purchasing Power Index,117.53
Finland,2018,Europe,Purchasing Power Index,119.42
Netherlands,2018,Europe,Purchasing Power Index,109.48
Switzerland,2018,Europe,Purchasing Power Index,126.15
Austria,2018,Europe,Purchasing Power Index,98.69
Germany,2018,Europe,Purchasing Power Index,125.01
Australia,2018,Oceania,Purchasing Power Index,122.98
New Zealand,2018,Oceania,Purchasing Power Index,98.61
United States of America,2018,Americas,Purchasing Power Index,127.62
Sweden,2018,Europe,Purchasing Power Index,113.01
Estonia,2018,Europe,Purchasing Power Index,74.82
Norway,2018,Europe,Purchasing Power Index,107.95
Japan,2018,Asia,Purchasing Power Index,107.35
Slovenia,2018,Europe,Purchasing Power Index,80.33
Spain,2018,Europe,Purchasing Power Index,90.67
Canada,2018,Americas,Purchasing Power Index,118.92
United Kingdom,2018,Europe,Purchasing Power Index,108.54
Portugal,2018,Europe,Purchasing Power Index,61.97
France,2018,Europe,Purchasing Power Index,101.21
Belgium,2018,Europe,Purchasing Power Index,98.91
United Arab Emirates,2018,Asia,Purchasing Power Index,124.78
Ireland,2018,Europe,Purchasing Power Index,96.1
Taiwan,2018,Asia,Purchasing Power Index,106.38
Croatia,2018,Europe,Purchasing Power Index,59.77
Czech Republic,2018,Europe,Purchasing Power Index,76.35
Qatar,2018,Asia,Purchasing Power Index,125.05
South Korea,2018,Asia,Purchasing Power Index,109.36
Slovakia,2018,Europe,Purchasing Power Index,67.29
Israel,2018,Asia,Purchasing Power Index,102.3
Singapore,2018,Asia,Purchasing Power Index,95.89
Saudi Arabia,2018,Asia,Purchasing Power Index,131.46
Lithuania,2018,Europe,Purchasing Power Index,57.29
Poland,2018,Europe,Purchasing Power Index,74.42
Italy,2018,Europe,Purchasing Power Index,81.07
Romania,2018,Europe,Purchasing Power Index,66.2
South Africa,2018,Africa,Purchasing Power Index,99.83
Greece,2018,Europe,Purchasing Power Index,53.8
Hungary,2018,Europe,Purchasing Power Index,50.62
Argentina,2018,Americas,Purchasing Power Index,60.15
Bulgaria,2018,Europe,Purchasing Power Index,54.44
Bosnia And Herzegovina,2018,Europe,Purchasing Power Index,52.4
Turkey,2018,Asia,Purchasing Power Index,53.78
Mexico,2018,Americas,Purchasing Power Index,58.18
Serbia,2018,Europe,Purchasing Power Index,41.81
Chile,2018,Americas,Purchasing Power Index,54.53
India,2018,Asia,Purchasing Power Index,79.27
Malaysia,2018,Asia,Purchasing Power Index,72.98
Indonesia,2018,Asia,Purchasing Power Index,37.49
Colombia,2018,Americas,Purchasing Power Index,38.59
Hong Kong,2018,Asia,Purchasing Power Index,82.86
Russian Federation,2018,Europe,Purchasing Power Index,51.11
Thailand,2018,Asia,Purchasing Power Index,38.59
Pakistan,2018,Asia,Purchasing Power Index,41.11
Brazil,2018,Americas,Purchasing Power Index,41.55
China,2018,Asia,Purchasing Power Index,72.28
Philippines,2018,Asia,Purchasing Power Index,34.02
Ukraine,2018,Europe,Purchasing Power Index,30.24
Iran,2018,Asia,Purchasing Power Index,45.6
Egypt,2018,Africa,Purchasing Power Index,24.67
Vietnam,2018,Asia,Purchasing Power Index,30.09
Austria,2017,Europe,Purchasing Power Index,95.66
Germany,2017,Europe,Purchasing Power Index,124.88
Denmark,2017,Europe,Purchasing Power Index,98.76
New Zealand,2017,Oceania,Purchasing Power Index,89.87
Spain,2017,Europe,Purchasing Power Index,87.87
Finland,2017,Europe,Purchasing Power Index,114.97
United States of America,2017,Americas,Purchasing Power Index,123.17
Portugal,2017,Europe,Purchasing Power Index,62.72
Australia,2017,Oceania,Purchasing Power Index,101.94
Slovenia,2017,Europe,Purchasing Power Index,78.23
Netherlands,2017,Europe,Purchasing Power Index,86.52
Switzerland,2017,Europe,Purchasing Power Index,95.35
United Kingdom,2017,Europe,Purchasing Power Index,96.85
Sweden,2017,Europe,Purchasing Power Index,107.23
Estonia,2017,Europe,Purchasing Power Index,68.48
Croatia,2017,Europe,Purchasing Power Index,60.71
Canada,2017,Americas,Purchasing Power Index,108.01
Ireland,2017,Europe,Purchasing Power Index,103.52
Cyprus,2017,Asia,Purchasing Power Index,95.92
Norway,2017,Europe,Purchasing Power Index,105.58
Czech Republic,2017,Europe,Purchasing Power Index,76.22
South Korea,2017,Asia,Purchasing Power Index,102.38
Belgium,2017,Europe,Purchasing Power Index,91.02
France,2017,Europe,Purchasing Power Index,87.29
Israel,2017,Asia,Purchasing Power Index,94.47
Slovakia,2017,Europe,Purchasing Power Index,64.75
Poland,2017,Europe,Purchasing Power Index,71.75
Taiwan,2017,Asia,Purchasing Power Index,118.57
Greece,2017,Europe,Purchasing Power Index,58.24
Japan,2017,Asia,Purchasing Power Index,102.52
Saudi Arabia,2017,Asia,Purchasing Power Index,138.05
South Africa,2017,Africa,Purchasing Power Index,98.96
Romania,2017,Europe,Purchasing Power Index,53.44
Italy,2017,Europe,Purchasing Power Index,71.83
Argentina,2017,Americas,Purchasing Power Index,58.4
United Arab Emirates,2017,Asia,Purchasing Power Index,116.77
Bosnia And Herzegovina,2017,Europe,Purchasing Power Index,51.29
Hungary,2017,Europe,Purchasing Power Index,47.52
Bulgaria,2017,Europe,Purchasing Power Index,51.4
Chile,2017,Americas,Purchasing Power Index,61.28
Serbia,2017,Europe,Purchasing Power Index,40.8
Qatar,2017,Asia,Purchasing Power Index,111.28
Lithuania,2017,Europe,Purchasing Power Index,51.67
Turkey,2017,Asia,Purchasing Power Index,55.64
Mexico,2017,Americas,Purchasing Power Index,60.08
Belarus,2017,Europe,Purchasing Power Index,36.43
Jordan,2017,Asia,Purchasing Power Index,42.27
North Macedonia,2017,Europe,Purchasing Power Index,39.85
Colombia,2017,Americas,Purchasing Power Index,37.63
Lebanon,2017,Asia,Purchasing Power Index,53.61
India,2017,Asia,Purchasing Power Index,76.73
Iran,2017,Asia,Purchasing Power Index,43.18
Brazil,2017,Americas,Purchasing Power Index,42.38
Hong Kong,2017,Asia,Purchasing Power Index,81.45
Pakistan,2017,Asia,Purchasing Power Index,39.95
Egypt,2017,Africa,Purchasing Power Index,29.39
China,2017,Asia,Purchasing Power Index,67.84
Sri Lanka,2017,Asia,Purchasing Power Index,30.28
Ukraine,2017,Europe,Purchasing Power Index,26.93
Singapore,2017,Asia,Purchasing Power Index,92.7
Russian Federation,2017,Europe,Purchasing Power Index,48.27
Indonesia,2017,Asia,Purchasing Power Index,27.61
Thailand,2017,Asia,Purchasing Power Index,34.28
Philippines,2017,Asia,Purchasing Power Index,36
Malaysia,2017,Asia,Purchasing Power Index,73.34
Vietnam,2017,Asia,Purchasing Power Index,24.77
Venezuela,2017,Americas,Purchasing Power Index,3.35
Switzerland,2016,Europe,Purchasing Power Index,178.74
Denmark,2016,Europe,Purchasing Power Index,142.14
New Zealand,2016,Oceania,Purchasing Power Index,115.47
Germany,2016,Europe,Purchasing Power Index,147.61
Australia,2016,Oceania,Purchasing Power Index,147.25
Austria,2016,Europe,Purchasing Power Index,120.46
Netherlands,2016,Europe,Purchasing Power Index,129.34
Norway,2016,Europe,Purchasing Power Index,125.75
Spain,2016,Europe,Purchasing Power Index,105.31
Sweden,2016,Europe,Purchasing Power Index,128.22
Finland,2016,Europe,Purchasing Power Index,132.93
United States of America,2016,Americas,Purchasing Power Index,139.17
Portugal,2016,Europe,Purchasing Power Index,75.47
United Kingdom,2016,Europe,Purchasing Power Index,120
Canada,2016,Americas,Purchasing Power Index,134.81
Japan,2016,Asia,Purchasing Power Index,117.55
Slovenia,2016,Europe,Purchasing Power Index,89.76
France,2016,Europe,Purchasing Power Index,118.51
Croatia,2016,Europe,Purchasing Power Index,67.89
Ireland,2016,Europe,Purchasing Power Index,125.66
South Korea,2016,Asia,Purchasing Power Index,120.64
Czech Republic,2016,Europe,Purchasing Power Index,89.99
Israel,2016,Asia,Purchasing Power Index,115.54
Greece,2016,Europe,Purchasing Power Index,79.27
Belgium,2016,Europe,Purchasing Power Index,106.69
Italy,2016,Europe,Purchasing Power Index,105.67
Saudi Arabia,2016,Asia,Purchasing Power Index,167.86
South Africa,2016,Africa,Purchasing Power Index,126.1
Poland,2016,Europe,Purchasing Power Index,80.77
Chile,2016,Americas,Purchasing Power Index,78.4
Bosnia And Herzegovina,2016,Europe,Purchasing Power Index,60.64
Romania,2016,Europe,Purchasing Power Index,61.9
United Arab Emirates,2016,Asia,Purchasing Power Index,136.43
Bulgaria,2016,Europe,Purchasing Power Index,59.19
Hungary,2016,Europe,Purchasing Power Index,56.3
Argentina,2016,Americas,Purchasing Power Index,74.92
Serbia,2016,Europe,Purchasing Power Index,49.62
Turkey,2016,Asia,Purchasing Power Index,64.12
Mexico,2016,Americas,Purchasing Power Index,76.51
Lithuania,2016,Europe,Purchasing Power Index,61.25
Colombia,2016,Americas,Purchasing Power Index,45.99
North Macedonia,2016,Europe,Purchasing Power Index,46.74
India,2016,Asia,Purchasing Power Index,89.65
Hong Kong,2016,Asia,Purchasing Power Index,102.32
Brazil,2016,Americas,Purchasing Power Index,48.69
China,2016,Asia,Purchasing Power Index,77.42
Iran,2016,Asia,Purchasing Power Index,47.73
Pakistan,2016,Asia,Purchasing Power Index,43.34
Singapore,2016,Asia,Purchasing Power Index,110.5
Egypt,2016,Africa,Purchasing Power Index,40.3
Russian Federation,2016,Europe,Purchasing Power Index,57.42
Ukraine,2016,Europe,Purchasing Power Index,29.66
Indonesia,2016,Asia,Purchasing Power Index,35.51
Philippines,2016,Asia,Purchasing Power Index,42.86
Thailand,2016,Asia,Purchasing Power Index,40.06
Malaysia,2016,Asia,Purchasing Power Index,96.34
Switzerland,2015,Europe,Purchasing Power Index,146.51
Germany,2015,Europe,Purchasing Power Index,111.84
Sweden,2015,Europe,Purchasing Power Index,110.95
United States of America,2015,Americas,Purchasing Power Index,126.09
Finland,2015,Europe,Purchasing Power Index,101.17
Denmark,2015,Europe,Purchasing Power Index,105.7
Austria,2015,Europe,Purchasing Power Index,104.55
Australia,2015,Oceania,Purchasing Power Index,110.39
Canada,2015,Americas,Purchasing Power Index,105.07
New Zealand,2015,Oceania,Purchasing Power Index,90.99
Norway,2015,Europe,Purchasing Power Index,96.3
Saudi Arabia,2015,Asia,Purchasing Power Index,126.19
Japan,2015,Asia,Purchasing Power Index,98.21
Netherlands,2015,Europe,Purchasing Power Index,102.02
Turkmenistan,2015,Asia,Purchasing Power Index,59.75
United Kingdom,2015,Europe,Purchasing Power Index,98.12
Cyprus,2015,Asia,Purchasing Power Index,71.05
United Arab Emirates,2015,Asia,Purchasing Power Index,104.59
Ireland,2015,Europe,Purchasing Power Index,95.72
Qatar,2015,Asia,Purchasing Power Index,113.02
Estonia,2015,Europe,Purchasing Power Index,51.44
France,2015,Europe,Purchasing Power Index,92.62
Belgium,2015,Europe,Purchasing Power Index,86.16
Spain,2015,Europe,Purchasing Power Index,76.71
Slovenia,2015,Europe,Purchasing Power Index,64.16
Portugal,2015,Europe,Purchasing Power Index,58.22
