Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year,Continent
France,150.73,74.06,50.8,80.99,80.62,13.48,34.53,41.79,89.94,2021,Europe
Slovakia,149.68,50.39,70.26,60.89,49.08,11.14,27.81,39.08,78.13,2021,Europe
Latvia,147.59,45.94,62.79,62.18,52.87,8.48,31.16,33.91,74.7,2021,Europe
Saudi Arabia,147.37,88.18,74.07,60.71,49.95,2.57,28.45,64.13,45.98,2021,Asia
Israel,144.14,70.36,68.79,73.76,86.63,13.68,35.76,58.42,93.78,2021,Asia
Cyprus,144.06,52.34,68.03,52.71,64.05,7.12,23.44,56.77,93.34,2021,Asia
Singapore,143.82,83.62,67.02,70.88,85.59,19.38,41.19,33.16,57.45,2021,Asia
Taiwan,138.82,56.08,84.76,86.39,65.25,23.63,31.28,62.92,81.6,2021,Asia
Italy,138.63,58.7,55.63,66.77,73.11,9.52,34.17,53.93,91.48,2021,Europe
Hungary,134.01,49.81,65.19,51.64,42.75,11.6,35.81,47.81,79.48,2021,Europe
Poland,132.65,47.09,70.68,58.25,42.04,14.03,31.34,54.33,75.9,2021,Europe
South Africa,132.19,72.92,22.93,63.89,41.69,3.96,39.3,56.96,95.25,2021,Africa
Romania,131.71,45.19,71.65,56.09,38.5,10.66,34.13,58.42,77.69,2021,Europe
Puerto Rico,130.77,69.22,36.65,55.57,69.51,3.56,34.16,50.45,71.25,2021,Americas
South Korea,130.02,76.6,73.14,82.34,81.2,23.63,39.88,61.85,68.39,2021,Asia
Greece,129.86,38.95,55.86,56.96,60.96,10.13,33.94,51.95,94.18,2021,Europe
Bulgaria,126.34,40.26,61.88,56.13,40.92,8.97,29.39,64.48,82.76,2021,Europe
Turkey,125.97,35.35,60.47,70.71,31.48,8.21,44.64,66.15,93.26,2021,Asia
Bosnia And Herzegovina,125.71,42.56,56.99,53.48,38.56,10.75,25.89,60.71,80.48,2021,Europe
Uruguay,124.63,30.62,48.78,67.66,51.09,17.33,37.74,45.67,98.04,2021,Americas
Costa Rica,121.65,39.01,44.66,62.92,50.64,10.07,60.19,44.07,99.48,2021,Americas
Mexico,120.29,35.54,45,72.51,35.05,10.46,39.02,61.24,86.63,2021,Americas
Georgia,118.87,25.67,77.38,53.83,28.05,14.16,35.4,69.7,88.53,2021,Asia
Ecuador,118.76,30.54,45.59,68.81,40.08,12.59,39.57,58.34,94.51,2021,Americas
Malaysia,116.94,56.1,42.11,69.59,39.51,9.92,37,62.58,59.11,2021,Asia
Serbia,116.24,35.83,61.74,51.62,39.19,17.08,31.1,61.2,83.23,2021,Europe
Jordan,114.04,33.13,59.27,65.38,52.17,8.03,41.41,76.09,89.05,2021,Asia
Kuwait,113.98,75.32,65.96,58.97,49.4,13.18,33.72,66.72,20.22,2021,Asia
Argentina,110.5,34.56,36.69,68.58,37.87,22.68,43.16,50.73,98.28,2021,Americas
Panama,110.32,32.05,54.15,60.43,54.07,12.33,37.55,59.77,67.84,2021,Americas
North Macedonia,108.47,31.97,61.41,56.49,34.15,12.67,27.22,80.03,76.3,2021,Europe
Ukraine,107.35,30.1,51.72,53.43,29.21,10.77,37.9,64.31,70.77,2021,Europe
Belarus,107.35,31.96,39.73,44.44,30.69,16.79,30.05,44.47,64.37,2021,Europe
Pakistan,105.14,27.28,56.14,60.52,21.59,12.62,37.8,73.36,73.63,2021,Asia
Brazil,104.75,28.66,32.15,57.33,31.82,16.13,41.71,54.53,92.39,2021,Americas
India,104.52,47.13,55.28,66.25,25.16,11.31,46.66,79.62,65.3,2021,Asia
Morocco,104.42,32.17,50.9,45.81,36.85,13.49,36.3,70.38,90.04,2021,Africa
China,103.15,57.47,69.83,66.38,42.54,29.02,40.89,81.47,80.15,2021,Asia
Azerbaijan,102.88,25.77,68.34,44.02,30.9,16.58,39.41,75.44,91.4,2021,Asia
Russian Federation,101.67,34.61,59.87,58.44,33.17,11.14,44.6,62.32,38.46,2021,Europe
Colombia,101.33,26.13,44.23,66.72,31,18.67,47.34,62.88,88.3,2021,Americas
Thailand,100.29,31.36,60.62,78.08,49.32,22.16,39.19,75.39,69.45,2021,Asia
Chile,99.9,33.33,47.92,63.72,49.33,17.6,35.56,78.96,90.21,2021,Americas
Hong Kong,99.34,62.45,78.27,66.34,79.94,45.19,42.28,67.3,83.64,2021,Asia
Kazakhstan,96.42,34.92,45.98,60.09,29.76,9.63,33.64,72.62,39.78,2021,Asia
Lebanon,94.47,29.49,53.04,63.29,75.88,14.07,39.06,89.35,94.74,2021,Asia
Indonesia,90.1,20.89,53.77,60.49,37.44,22.01,43.4,67.08,68.48,2021,Asia
Vietnam,88.38,27.26,53.91,58.28,38.05,20.59,29.61,85.92,71.09,2021,Asia
Egypt,86.31,19.99,53.21,46.21,30.1,13.65,49.08,84.35,91.98,2021,Africa
Peru,83.3,28.81,33.39,56.38,36.26,16.88,48.81,82.69,97.69,2021,Americas
Sri Lanka,79.78,20.77,58.81,72.63,31.28,35.01,57.2,59.92,59.11,2021,Asia
Philippines,78.39,19.71,57.84,67.09,40.65,30.14,44.04,74.06,61.03,2021,Asia
Kenya,75.77,27.67,38.6,55.83,36.3,27.27,57.39,75.88,99.79,2021,Africa
Bangladesh,65.27,24.07,35.78,42.7,33.31,14.43,58.53,84.91,72.91,2021,Asia
Iran,64.73,19,50.81,52.25,41.34,34.24,47.43,76.13,70.99,2021,Asia
Nigeria,52,9.78,36.14,48.89,29.74,17.74,61.68,87.35,60.75,2021,Africa
Denmark,192.67,100.88,74.9,80,83,7.45,28.85,21.33,81.8,2020,Europe
Switzerland,192.01,119.53,78.4,72.44,122.4,8.68,29.09,22.39,79.24,2020,Europe
Finland,190.22,99.93,76.68,75.79,70.29,8.35,29.9,11.55,58.87,2020,Europe
Australia,186.21,107.31,58.64,77.38,73.54,7.52,34.73,23.46,92.7,2020,Oceania
Netherlands,183.67,90.73,72.38,74.65,73.75,7.51,29.43,27.41,87.61,2020,Europe
Austria,182.5,82.38,76.27,78.73,70.38,10.88,26.27,22.19,77.3,2020,Europe
Iceland,181.75,79.44,76.64,65.92,100.48,6.74,20.1,16.21,68.81,2020,Europe
New Zealand,181.02,92.66,59.07,73.81,72.53,8.52,31.1,23.4,95.46,2020,Oceania
Germany,179.78,102.36,65.19,73.32,65.26,9.38,30.98,29.03,83,2020,Europe
Estonia,177.82,71.3,76.86,72.67,50.93,9.06,24.53,19.81,64.28,2020,Europe
Sweden,175.95,101.73,52.93,69.23,69.85,9.27,30.49,18.09,73.97,2020,Europe
Norway,175.19,88.38,64.57,74.36,101.43,8.77,26.99,20.35,71.37,2020,Europe
Slovenia,172.15,66.31,78.93,64.58,53.43,10.49,27.3,24.06,77.56,2020,Europe
United States of America,172.11,109.52,52.8,69.27,71.05,3.52,32.89,36.88,77.54,2020,Americas
Spain,169.82,72.03,68.04,78.88,53.77,9.37,29.1,39.99,94.19,2020,Europe
Japan,167.99,87.28,79.34,81.14,83.35,13,39.15,39.59,84.79,2020,Asia
Oman,167.09,80.97,79.21,58.15,49.28,9.08,22.8,37.74,67.22,2020,Asia
Canada,163.47,95.09,60.33,71.58,67.62,7.97,33.87,27.83,50.57,2020,Americas
Portugal,162.91,49.43,70.37,71.88,49.52,12.7,30,30.89,97.31,2020,Europe
United Kingdom,162.71,91.73,56.29,74.46,67.28,10.09,34.53,40.56,87.62,2020,Europe
Qatar,162.29,111.69,88.14,73.3,64.04,5.82,29.72,61.06,36.03,2020,Asia
Lithuania,159.42,57.85,66.94,69.49,44.28,10.9,26.08,28.8,67.76,2020,Europe
Croatia,159.01,50.42,75.29,62.68,49.7,13.73,29.11,30.46,89.05,2020,Europe
United Arab Emirates,156.67,91.58,84.3,67.04,61.98,5.29,36.85,51.15,45.23,2020,Asia
Czech Republic,156.24,62.82,74.48,74.62,46.15,15.42,29.65,40.23,77.13,2020,Europe
France,153.95,80.36,53.21,79.99,74.14,13.04,34.76,43.56,90.25,2020,Europe
Ireland,153.53,80.88,54.57,51.89,75.91,7.49,37.68,33.99,89.13,2020,Europe
Belgium,153.47,86.28,56.02,74.34,71.78,6.91,36.15,52.94,85.99,2020,Europe
Slovakia,152.53,56.94,70.78,60.02,44.46,10.25,29.11,39.66,78.13,2020,Europe
Saudi Arabia,150.56,100,73.82,59.11,48.34,2.79,28.61,65.09,45.98,2020,Asia
Latvia,150,52.48,63.05,62.91,47.94,8.85,32.89,33.73,74.7,2020,Europe
Israel,149.94,78.09,70.4,73.29,81.15,12.83,35.91,57.25,93.78,2020,Asia
Cyprus,147.93,57.41,69.99,51.75,57.93,8.2,23.95,53.55,92.8,2020,Asia
Singapore,144.39,88.96,69.43,70.84,81.1,22.31,41.31,33.48,57.45,2020,Asia
Taiwan,143.23,65.67,84.35,86.71,61.37,23.69,31.93,63.35,84.38,2020,Asia
Poland,141.83,59.61,71.5,61.01,40.04,11.38,31.72,54.46,76.14,2020,Europe
Italy,140.76,65.59,55.74,66.59,67.26,9.71,34.42,55.63,92.27,2020,Europe
South Korea,139.02,85.21,71.98,81.97,78.18,17.37,39.57,62.48,68.39,2020,Asia
Belarus,134.83,37,75.01,59.04,34.7,14.65,30.68,43.63,64.37,2020,Europe
Greece,133.07,43.68,59.68,56.21,55.67,10.6,33.84,52.55,94.18,2020,Europe
Romania,132.44,48.86,72.36,55.06,35.31,11.33,34.75,58.42,77.62,2020,Europe
South Africa,131.97,73.61,22.51,64.14,42.87,3.93,39.43,57.3,95.25,2020,Africa
Bulgaria,129.8,49.37,61.5,55.4,36.7,8.52,29.39,65.33,82.76,2020,Europe
Hungary,128.16,47.55,64.92,47.8,40.85,14.77,35.78,48.29,79.48,2020,Europe
Turkey,127.1,40.85,60.51,69.8,34.69,7.81,44.65,67.35,93.26,2020,Asia
Uruguay,125.98,37.46,46.19,66.28,51.04,16.34,39.89,44.84,98.04,2020,Americas
Ecuador,125.14,36.08,49.1,70.59,40.98,12.7,37.55,57,94.51,2020,Americas
Bosnia And Herzegovina,121.89,41.83,56.97,52.26,35.97,12.58,26.67,62.33,80.48,2020,Europe
Chile,119.76,42.5,54.77,65.44,43.62,14.93,35.44,65.78,90.21,2020,Americas
Mexico,118.55,41.81,46.03,70.12,35.72,10.67,39.39,66.1,86.29,2020,Americas
Malaysia,118.44,64.49,41.16,68.1,39.12,9.94,37.03,63.18,57.92,2020,Asia
Serbia,116.3,36.72,62.59,51.27,35.72,18.94,30.43,60.32,83.23,2020,Europe
Georgia,115.95,24.88,79.79,51.24,28.48,14.21,36.02,71.09,84.2,2020,Asia
Kuwait,115.75,85.59,65.25,56.21,50.37,12.28,34.44,68.69,20.22,2020,Asia
Argentina,115.31,47.22,38.23,69.25,32.95,24.53,43.08,50.67,98.28,2020,Americas
Jordan,112.4,34.88,59.17,64.6,53.67,8.42,42.03,77.78,89.05,2020,Asia
North Macedonia,110.46,37.15,61.33,56.38,31.59,12.6,27.61,80.23,76.3,2020,Europe
India,108.63,54.3,56.68,67.13,24.58,11.38,46.99,78.87,64.87,2020,Asia
Panama,108.36,34.23,52.81,59.93,54.16,12.6,36.48,63.09,67.84,2020,Americas
Lebanon,106.56,44.47,56.64,64.38,60.5,13.23,37.38,88.37,94.74,2020,Asia
Colombia,105.83,31.12,45.21,67.24,30.66,19.65,47.49,62.83,96.69,2020,Americas
Brazil,105.65,32.81,31.12,56.29,40.22,16.41,41.7,54.98,97.16,2020,Americas
Morocco,105.46,35.25,51.31,45.72,34.32,14.18,36.89,70.64,91.7,2020,Africa
Pakistan,105.44,30.57,55.92,60.59,21.98,11.98,38.56,74.25,71.93,2020,Asia
Ukraine,104.77,31.8,51.15,52.33,33.18,12.23,38.65,65.08,71.42,2020,Europe
China,102.81,60.88,68.17,64.48,40.04,29.06,41.81,80.77,79.19,2020,Asia
Russian Federation,102.31,38.94,58.88,57.59,39.21,10.77,45.3,62.79,40.36,2020,Europe
Thailand,101.88,35.45,59.52,77.95,49.77,22.26,38.23,75.07,69.45,2020,Asia
Hong Kong,99.05,65.32,79.3,66.08,77.22,47.46,41.46,67.69,83.64,2020,Asia
Indonesia,97.47,25.05,54.16,60.48,37.27,18.88,43.11,66.56,74.15,2020,Asia
Kazakhstan,88.31,38.36,37.98,50.7,30.64,10.86,31.08,75.15,39.78,2020,Asia
Vietnam,87.48,28.14,54.65,57.7,38.34,21.36,30.17,86.47,71.24,2020,Asia
Egypt,86.54,22.41,53.08,45.84,29.54,13.01,49.78,85.65,91.98,2020,Africa
Peru,85.46,33.95,31.85,56.15,38.65,14.95,48.33,84.13,97.69,2020,Americas
Philippines,85.37,23.48,57.84,67.47,37.63,24.6,44.63,74.28,60.81,2020,Asia
Sri Lanka,85.16,24.45,59.78,72.53,31.61,31.14,59.01,59.14,59.11,2020,Asia
Iran,74.14,22.69,50.75,51.7,39.01,25.11,48.01,77.45,70.99,2020,Asia
Kenya,70.56,27.32,38.34,55.59,40.21,31.63,56.65,76.6,99.79,2020,Africa
Bangladesh,70.03,33.21,36.06,42.8,32.25,13.1,56.73,86.21,71.29,2020,Asia
Nigeria,55.65,13.52,36.23,51.59,31,16.7,61.08,87.63,60.75,2020,Africa
Denmark,198.57,114.39,75.75,79.41,81.38,6.93,28.51,22.14,81.8,2019,Europe
Switzerland,195.93,129.7,78.5,72.68,121.16,9.63,29.05,22.03,80.05,2019,Europe
Finland,194.01,112.3,77.2,73.49,72.82,7.98,30.41,11.93,58.56,2019,Europe
Australia,191.13,122.85,57.24,76.38,72.08,7.6,35.29,23.97,93.75,2019,Oceania
Austria,191.05,96.7,78.63,79.19,71.79,10.14,25.15,21.97,77.74,2019,Europe
Netherlands,188.91,102.54,71.43,77.81,74.83,7.38,29.87,27.45,87.45,2019,Europe
Iceland,187.79,91.8,76.72,66.44,101.86,6.58,19.74,15.24,68.81,2019,Europe
Germany,187.05,116.2,65.49,74.32,67.62,9.02,29.91,28.01,82.51,2019,Europe
New Zealand,185.58,101.09,60.45,73.62,72.62,8.34,31.19,22.74,95.46,2019,Oceania
Norway,181.86,103.61,64.68,74.14,100.99,8.4,27.12,19.86,71.16,2019,Europe
Estonia,180.88,75.97,79.2,72.12,51.01,9.31,25.75,18.15,64.28,2019,Europe
Japan,180.5,103.12,86.27,80.4,83.33,11.25,40.03,37.08,84.79,2019,Asia
United States of America,179.2,122.03,52.87,69.41,69.91,3.58,32.87,33.95,77.51,2019,Americas
Sweden,178.67,111.38,50.65,70.95,71.55,10.26,30.29,18.01,74.92,2019,Europe
Slovenia,175.98,75.38,77.43,62.81,52.51,10.16,24.81,24.33,78.08,2019,Europe
Spain,174.16,83.8,67.54,77.77,54.7,9.21,29.42,39.36,94.19,2019,Europe
United Kingdom,170.81,105.73,57.28,74.71,65.28,9.16,34.62,39.43,87.82,2019,Europe
Canada,170.32,109.44,60.49,70.99,65.01,7.66,33.77,27.85,52.55,2019,Americas
Qatar,167.84,138.29,86.74,72.41,59.09,5.74,31.71,66.48,36.03,2019,Asia
United Arab Emirates,167.81,119.6,83.68,67.99,56.16,4.4,37.46,53.11,45.23,2019,Asia
Croatia,165.31,60.33,75.31,64.14,49.18,11.63,29.11,31.03,88.95,2019,Europe
Portugal,163.5,55.19,67.87,70.72,50.39,12.71,29.02,31.58,97.55,2019,Europe
Belgium,162.09,95.09,57.54,79.44,72.97,7.18,34.86,49.89,86.03,2019,Europe
Ireland,160.82,95.09,55.48,48.58,75.35,7.9,35.85,31.12,89.13,2019,Europe
Czech Republic,158.79,71.32,73.34,74.71,45.12,15.17,30.02,40.96,77.13,2019,Europe
France,157.83,91.55,53.61,78.55,74.85,12.85,35.27,42.7,88.25,2019,Europe
Cyprus,157.57,75.29,70.69,50.17,55.57,7.17,20.27,53.75,92.23,2019,Asia
Singapore,156.91,103.77,78.53,70.3,69.79,21.56,42.15,32.29,57.45,2019,Asia
Lithuania,156.36,60.34,63.49,67.58,45.91,11.11,27.15,30.84,69.86,2019,Europe
Israel,153.82,92.48,67.84,73.44,74.28,13.98,36.32,57.25,93.8,2019,Asia
Slovakia,153.1,63.24,70.46,60.06,44.98,10.27,29.58,41.89,78.13,2019,Europe
Saudi Arabia,152.72,118.59,70.27,59.07,47.61,2.89,29.61,67.26,41.42,2019,Asia
South Korea,149.53,103.4,65.95,84.51,76.93,17.58,40.02,54.19,68.39,2019,Asia
Latvia,149.15,55.16,63.23,59.71,49.23,9.35,31.45,34.96,74.7,2019,Europe
Poland,147.98,70,69.91,62.15,39.13,10.27,32.15,52.38,76.02,2019,Europe
Italy,145.69,77.49,54.98,67.14,69.25,9.97,34.69,53.75,91.25,2019,Europe
